Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-04-01,161.62,164.15,158.04,159.6,19507600,0,0
2020-04-02,159.1,161.35,155.92,158.19,20886300,0,0
2020-04-03,157.15,157.91,150.83,154.18,25983300,0,0
2020-04-06,160.15,166.2,158.51,165.55,28453600,0,0
2020-04-07,171.79,173.39,166.01,168.83,31411900,0,0
2020-04-08,171.25,175.0,167.74,174.28,21664200,0,0
2020-04-09,175.9,177.08,171.57,175.19,23534300,0,0
2020-04-13,173.67,175.0,169.45,174.79,19355400,0,0
2020-04-14,178.98,181.23,176.62,178.17,21011800,0,0
2020-04-15,175.19,178.19,172.82,176.97,17423000,0,0
2020-04-16,177.95,178.05,172.51,176.25,23593200,0,0
2020-04-17,179.2,180.28,176.66,179.24,20974800,0,0
2020-04-20,177.41,180.5,176.77,178.24,16110700,0,0
2020-04-21,175.25,175.38,168.34,170.8,24850500,0,0
2020-04-22,178.45,184.78,178.14,182.28,33369900,0,0
2020-04-23,184.08,187.05,183.15,185.13,21426600,0,0
2020-04-24,183.23,190.41,180.83,190.07,28868500,0,0
2020-04-27,192.66,193.75,187.41,187.5,29197800,0,0
2020-04-28,188.66,189.2,182.56,182.91,21731000,0,0
2020-04-29,190.93,196.91,190.0,194.19,45954500,0,0
2020-04-30,206.92,209.69,201.57,204.71,46173300,0,0
2020-05-01,201.6,207.28,199.05,202.27,30415600,0,0
2020-05-04,200.2,205.91,198.76,205.26,19250700,0,0
2020-05-05,207.02,210.38,206.5,207.07,21071200,0,0
2020-05-06,208.12,211.6,206.66,208.47,21857000,0,0
2020-05-07,211.16,211.6,209.04,211.26,15152000,0,0
2020-05-08,212.24,213.21,210.85,212.35,12524000,0,0
2020-05-11,210.89,215.0,210.37,213.18,12911900,0,0
2020-05-12,213.29,215.28,210.0,210.1,14704600,0,0
2020-05-13,209.43,210.78,202.11,205.1,20684600,0,0
2020-05-14,202.56,206.93,200.69,206.81,17178900,0,0
2020-05-15,205.27,211.34,204.12,210.88,19383200,0,0
2020-05-18,212.15,214.64,210.94,213.19,20167400,0,0
2020-05-19,213.27,220.49,212.83,216.88,31843200,0,0
2020-05-20,223.5,231.34,223.19,229.97,50162900,0,0
2020-05-21,234.72,237.2,231.2,231.39,47782600,0,0
2020-05-22,231.51,235.99,228.74,234.91,33925600,0,0
2020-05-26,239.77,240.9,231.67,232.2,33178300,0,0
2020-05-27,229.07,230.56,221.13,229.14,34697600,0,0
2020-05-28,224.3,231.63,224.0,225.46,29377200,0,0
2020-05-29,225.2,227.49,222.88,225.09,23322500,0,0
2020-06-01,224.59,232.44,223.5,231.91,18223800,0,0
2020-06-02,230.94,233.0,226.56,232.72,20919000,0,0
2020-06-03,232.11,232.65,228.53,230.16,15380300,0,0
2020-06-04,229.56,231.63,224.61,226.29,17041500,0,0
2020-06-05,226.71,231.35,225.31,230.77,16750400,0,0
2020-06-08,229.03,231.55,227.41,231.4,15466500,0,0
2020-06-09,231.52,239.77,230.41,238.67,27462900,0,0
2020-06-10,240.96,241.21,235.28,236.73,20720700,0,0
2020-06-11,229.94,232.89,223.55,224.43,26708200,0,0
2020-06-12,229.9,231.66,224.5,228.58,22071700,0,0
2020-06-15,225.09,233.77,224.8,232.5,15340300,0,0
2020-06-16,237.14,238.46,233.0,235.65,15236700,0,0
2020-06-17,235.0,237.59,231.73,235.53,19552800,0,0
2020-06-18,234.99,236.14,232.15,235.94,15782500,0,0
2020-06-19,237.79,240.83,235.55,238.79,30069700,0,0
