,ticker,title,date
0,FB,Facebook removes Trump’s campaign ad over hate symbols,2020-06-21
1,FB,3 Threats to YouTube's Dominance,2020-06-20
2,FB,"Civil rights groups slam Facebook, call for ad boycott",2020-06-20
3,FB,Facebook Buys Swedish Mapping App,2020-06-20
4,FB,3 Stocks to Buy the Next Time the Market Crashes,2020-06-20
5,FB,These Warren Buffett Winners Are Largely Carrying the Stock Market on Their Shoulders,2020-06-20
6,FB,"Twitter, Facebook Take Down Doctored Toddler Video Posted By Donald Trump After Copyright Claims",2020-06-19
7,FB,Facebook and Twitter remove 'racist baby' video posted by Trump,2020-06-19
8,FB,"Facebook, Twitter Take Down Trump Post With Manipulated Video Of Toddlers After Copyright Complaint",2020-06-19
9,FB,North Face Becomes First Big Brand To Join Facebook Boycott,2020-06-19
10,FB,"Facebook removes 'racist baby' video posted by Trump, after Twitter adds label",2020-06-19
11,FB,Social media giants remove and flag Trump campaign ads,2020-06-19
12,FB,The North Face pulls its Facebook advertising in solidarity with civil rights groups,2020-06-19
13,FB,The North Face is the biggest brand yet to join Facebook ad boycott,2020-06-19
14,FB,North Face is first major brand to boycott Facebook ad platform,2020-06-19
15,FB,Social Media Giants Support Racial Justice. Their Products Undermine It.,2020-06-19
16,FB,10 Cash-Rich Stocks to Buy for Peace of Mind,2020-06-19
17,FB,Influential advertising firm urges clients to boycott Facebook,2020-06-19
18,FB,Digital Payments Rise Amid Coronavirus Crisis: Stocks in Focus,2020-06-19
19,FB,"Facebook To Increase Minority Representation In Leadership, Pledges $200M To African American Businesses",2020-06-19
20,FB,Facebook buys start-up in latest push to take on Apple and Google at street-level mapping,2020-06-19
21,FB,Facebook Removes Trump Campaign Ads Containing Symbols Reminiscent Of The Nazi Era,2020-06-19
22,FB,Unpopular Opinion: Facebook Is Undervalued,2020-06-19
23,FB,Facebook takes down Trump campaign ad that featured symbol once used by the Nazis,2020-06-18
24,FB,Facebook Removes Trump Ads for Violating Hate Policy,2020-06-18
25,FB,Facebook removes Trump re-election ads that feature a Nazi symbol,2020-06-18
26,FB,"Facebook To Invest $200 Million In Black-Owned Businesses, Part Of $1.1 Billion Social Justice Commitment",2020-06-18
27,FB,Facebook acquires crowdsourced mapping company Mapillary,2020-06-18
28,FB,Facebook outlines plans to increase workforce diversity,2020-06-18
29,FB,Facebook taking down Trump ads ‘exposed just how biased they are’: GOP Rep,2020-06-18
30,FB,"Facebook, Google, Amazon Could Face EU Tax by End of 2020",2020-06-18
31,FB,Facebook Goes After Data Scrapers Via 2 Lawsuits,2020-06-18
32,FB,"Mapillary, the crowdsourced database of street-level imagery, has been acquired by Facebook",2020-06-18
33,FB,Facebook commits $200 million to Black-owned businesses and organizations,2020-06-18
34,FB,Facebook Removes Trump Campaign Ads With Nazi Concentration Camp Symbol,2020-06-18
35,FB,Facebook removes Trump campaign ads featuring Nazi symbol,2020-06-18
36,FB,Facebook takes down Trump re-election ad featuring hate symbol,2020-06-18
